Epochs,Dataset Size (KB),Definition Size (KB),Input Model Size (KB),Trained Model Size (KB),AIBOM Size (KB),Logs Size (KB),Metrics Size (KB),RunLink Size (KB),Total Job Folder Size (KB),AIBOM % of Trained Model
1,1923.439453125,0.1220703125,2738.6904296875,8163.0986328125,13.466796875,4.251953125,0.1328125,1.267578125,12844.4697265625,0.1649716300237839
2,1923.439453125,0.1220703125,2738.6904296875,8163.0986328125,13.537109375,4.251953125,0.2060546875,1.267578125,12844.61328125,0.16583297573529315
5,1923.439453125,0.1220703125,2738.6904296875,8163.0986328125,13.779296875,4.251953125,0.4453125,1.267578125,12845.0947265625,0.16879983318604722
10,1923.439453125,0.1220703125,2738.6904296875,8163.0986328125,14.173828125,4.251953125,0.8369140625,1.267578125,12845.880859375,0.17363293967840462
50,1923.439453125,0.1220703125,2738.6904296875,8163.0986328125,17.3310546875,4.251953125,3.994140625,1.267578125,12852.1953125,0.21230975475214597
